,id,date,city,state,type,ideology,subideology,group,description,image
14,67923,10/31/2024,Lititz,PA,Antisemitic Incident:Harassment,,,,"A teenager praised Hitler and yelled, ""Heil Hitler"" while handing out Halloween candy.",
15,67924,10/31/2024,Bellevue,WA,Antisemitic Incident:Vandalism,,,,A swastika was drawn on a bench outside of a middle school.,
16,68101,10/31/2024,Boulder,CO,Antisemitic Incident:Vandalism,,,,"Graffiti was spray-painted on the University of Colorado, Boulder, campus that read: ""Hamas is resistance"" with an inverted red triangle, a symbol that first appeared in propaganda videos promoted by Hamas showing Israeli military targets.",
17,67910,10/30/2024,Los Angeles,CA,Antisemitic Incident:Harassment,,,,"An individual yelled, ""Baby killer"" while waving a Palestinian flag out the window of their car at a visibly Jewish person.",
18,67911,10/30/2024,Boston,MA,Antisemitic Incident:Vandalism,,,,"The sukkah at Simmons University's Hillel was vandalized with the phrase: ""Gaza liberation sukkah.""",
19,67912,10/30/2024,College Park,MD,Antisemitic Incident:Harassment,,,,"An individual wrote: ""[Star of David] Did 9/11"" in the dust on a car parked near the University of Maryland Hillel.",
20,67913,10/30/2024,Bozeman,MT,Antisemitic Incident:Vandalism,,,,A memorial with a Star of David on it was vandalized at a cemetery.,
21,67914,10/30/2024,Manhattan,NY,Antisemitic Incident:Assault,,,,"A visibly Jewish man was spat on, assaulted and called a ""dirty Jew"" by a passerby on the street.",
22,67915,10/30/2024,Ossining,NY,Antisemitic Incident:Vandalism,,,,Two swastikas were drawn in a bathroom stall at a middle school.,
23,67916,10/30/2024,Cleveland,OH,Antisemitic Incident:Vandalism,,,,A swastika was drawn on the window of a building.,
24,67917,10/30/2024,Portland,OR,Antisemitic Incident:Vandalism,,,,Graffiti featuring swastikas and antisemitic messages was spray-painted on equipment at a public park.,
25,67918,10/30/2024,Bala Cynwyd,PA,Antisemitic Incident:Harassment,,,,"A Jewish professional received an antisemitic postcard in the mail that read: ""Fuck you you Jew bastard bloodsucking Hebe getting rich on other's problems... Just a matter of time till we do here what they did on October 7th.""",
26,68100,10/30/2024,San Francisco,CA,Antisemitic Incident:Vandalism,,,,"A mural was painted on the side of a building that read: ""Stop Zionism"" and ""Resistance is justified when people are occupied.""",
27,67907,10/29/2024,Detroit,MI,Antisemitic Incident:Harassment,,,,"One individual called a visibly Jewish man, ""Yahud"" and another asked, ""Israel or Palestine?"" on the campus of Wayne State University.",
28,67908,10/29/2024,Brooklyn,NY,Antisemitic Incident:Assault,,,,A visibly Jewish individual was slashed in the face with a knife while the attacker yelled hateful rhetoric.,
29,67909,10/29/2024,Bellaire,TX,Antisemitic Incident:Harassment,,,,"A Jewish funeral home received an antisemitic online contact form submission that read: ""I would like to help bury Jews se speed the process to bury more Jews...you know us Jews have no morals, values and that we only care about ourselves [sic]!""",
30,68060,10/29/2024,Petaluma,CA,Antisemitic Incident:Vandalism,,,,"Graffiti was spray-painted on a warehouse that read: ""Zionism is terrorism.""",
31,68061,10/29/2024,Devens,MA,Antisemitic Incident:Vandalism,,,,A swastika was written on a wall in a girl's bathroom at a charter school.,
32,68062,10/29/2024,Kalamazoo,MI,Antisemitic Incident:Harassment;White Supremacist Event,Right Wing (White Supremacist),,Patriot Front,"Approximately five individuals associated with Patriot Front, a white supremacist group, dropped a banner from an overpass that read: ""No Zionist in Government."" The group also placed graffiti that read: ""For The Nation, Against the State"" and “Reclaim America.”",
33,67903,10/28/2024,Loxahatchee,FL,Antisemitic Incident:Harassment,,,,An individual allegedly yelled antisemitic slurs and swerved his car toward voters at a polling station.,
34,67904,10/28/2024,Chicago,IL,Antisemitic Incident:Harassment,,,,"While walking on a sidewalk, a visibly Jewish man was yelled at by a driver who rolled down his window, shouted, ""Keep walking, you fucking Zio,"" spat out the window and then drove away.",
35,67905,10/28/2024,Austin,TX,Antisemitic Incident:Vandalism,,,,"A wall was spray-painted with a swastika and: ""Kill all Jews.""",
36,67906,10/28/2024,Seattle,WA,Antisemitic Incident:Vandalism,,,,"A sticker that read: ""May Israel be inscribed in the book of Death"" was placed in the parking lot of a synagogue.",
37,68059,10/28/2024,San Jose,CA,Antisemitic Incident:Harassment,,,,Two middle school students performed Nazi salutes in class in front of a Jewish classmate.,
38,67898,10/27/2024,Chicago,IL,Antisemitic Incident:Harassment,,,,"A business displayed a flier that read: ""#AlAqsaFlood,"" Hamas's name for the October 7th terrorist attack.",
39,67899,10/27/2024,Teaneck,NJ,Antisemitic Incident:Harassment,,,,"The mayor and a member of the city council received an antisemitic email that read: ""American media is rife with parasitic Jews spewing self righteous propaganda"" and ""Disgusting Nazis"" with inverted red triangles.",
40,67900,10/27/2024,Albuquerque,NM,Antisemitic Incident:Harassment,,,,"At a local celebration, anti-Israel protesters burned an effigy of Benjamin Netanyahu wearing a Star of David armband, holding a puppet of Joe Biden and sitting atop of the AIPAC logo with a message that read: ""Buying U.S. Politicians &amp; Judges Since 1954.""",
41,67901,10/27/2024,Manhattan,NY,Antisemitic Incident:Harassment,,,,"While walking into an early voting polling station, an individual encountered a young woman who, unprovoked, remarked, ""Just another JEW walking by."" When asked to repeat herself, she repeated the word, ""Jew.""",
42,67902,10/27/2024,Houston,TX,Antisemitic Incident:Vandalism,,,,"The sign of a Jewish organization's office was spray-painted with: ""Shame."" A flier was also placed on the building that read: ""Viva Palestina.""",
43,68055,10/27/2024,Oak Forest,IL,Antisemitic Incident:Vandalism,,,Patriot Front,"Patriot Front, a white supremacist group, posted stickers that read: ""No Zionists in government, we serve one nation,"" ""America first,"" ""United we stand"" and ""For the nation, against the state.""",
44,68056,10/27/2024,Abington,MA,Antisemitic Incident:Vandalism,,,Patriot Front,"Patriot Front, a white supremacist group, posted stickers that read: ""Not stolen, conquered,"" ""No Zionists in government, we serve one nation"" and ""Free occupied America.""",
45,68057,10/27/2024,Washington,MO,Antisemitic Incident:Vandalism,,,Patriot Front,"Patriot Front, a white supremacist group, posted stickers that read: ""No Zionists in government, we serve one nation,"" ""No more foreign wars,"" ""American spirit, European blood"" and ""Reclaim America.""",
46,68058,10/27/2024,Macedon,NY,Antisemitic Incident:Vandalism,,,Patriot Front,"Patriot Front, a white supremacist group, posted stickers that read: ""Life, liberty, victory,"" ""For a new American nation state,"" ""United we stand"" and ""No Zionists in government, we serve one nation.""",
47,67893,10/26/2024,Oakland,CA,Antisemitic Incident:Harassment,,,,A Jewish patron was kicked out of a coffee shop for wearing a baseball cap with a Star of David on it.,
48,67894,10/26/2024,San Diego,CA,Antisemitic Incident:Harassment,,,,A visibly Jewish individual walking home from synagogue was called antisemitic slurs by a passerby in a vehicle.,
49,67895,10/26/2024,San Francisco,CA,Antisemitic Incident:Vandalism,,,,"Graffiti was spray-painted on the wall of a tunnel that read: ""Long live Hamas"" with an inverted triangle, a symbol that first appeared in propaganda videos promoted by Hamas.",
50,67896,10/26/2024,Natick,MA,Antisemitic Incident:Vandalism,,,,A swastika was etched into a bathroom stall at a rest stop.,
51,67897,10/26/2024,Lakeway,TX,Antisemitic Incident:Vandalism,,,,"Graffiti was drawn on a gas station pump that read: ""Same shit"" with a Star of David equal to a swastika.",
52,68038,10/26/2024,Childersburg,AL,Antisemitic Incident:Vandalism,,,Patriot Front,"Patriot Front, a white supremacist group, posted stickers that read: ""Life, liberty, victory,"" ""For the nation, against the state,"" ""No Zionists in government, we serve one nation"" and ""For a new American nation state.""",
53,68039,10/26/2024,Sylacauga,AL,Antisemitic Incident:Vandalism,,,Patriot Front,"Patriot Front, a white supremacist group, posted stickers that read: ""Reclaim America,"" ""No Zionists in government, we serve one nation,"" ""Forward for a new American nation state"" and ""American spirit, European blood.""",
54,68040,10/26/2024,Baltimore,MD,Antisemitic Incident:Vandalism,,,Patriot Front,"Patriot Front, a white supremacist group, posted stickers that read: ""Free occupied America,"" ""No Zionists in government, we serve one nation,"" ""One nation, against invasion"" and ""For the nation, against the state.""",
55,68041,10/26/2024,Ann Arbor,MI,Antisemitic Incident:Harassment,,,,Individuals associated with the antisemitic and anti-Israel group Witness for Peace protested outside a synagogue during Shabbat services.,
56,68042,10/26/2024,Hannibal,MO,Antisemitic Incident:Vandalism,,,Patriot Front,"Patriot Front, a white supremacist group, posted stickers that read: ""America first,"" ""No Zionists in government we serve one nation"" and ""American spirit European blood.""",
57,68043,10/26/2024,Palmyra,MO,Antisemitic Incident:Vandalism,,,Patriot Front,"Patriot Front, a white supremacist group, posted stickers that read: ""American spirit, European blood,"" ""No Zionists in government, we serve one nation,"" ""America first"" and ""One nation, against invasion.""",
58,68044,10/26/2024,Milton,NV,Antisemitic Incident:Vandalism,,,Patriot Front,"Patriot Front, a white supremacist group, posted stickers that read: ""American spirit, European blood,"" ""No Zionists in government, we serve one nation"" and ""Not stolen, conquered.""",
59,68045,10/26/2024,Hooksett,NH,Antisemitic Incident:Vandalism,,,Patriot Front,"Patriot Front, a white supremacist group, posted stickers that read: ""Reject poison,"" ""Better dead than red,"" ""Revolution is our tradition"" and ""No Zionists in government, we serve one nation.""",
60,68046,10/26/2024,Westbury,NY,Antisemitic Incident:Vandalism,,,Patriot Front,"Patriot Front, a white supremacist group, posted stickers that read: ""America is not for sale,"" ""No Zionists in government, we serve one nation,"" ""Life of our nation, liberty of our people, victory of the American spirit"" and ""America for Americans.""",
61,68047,10/26/2024,New Bern,NC,Antisemitic Incident:Vandalism,,,Patriot Front,"Patriot Front, a white supremacist group, posted stickers that read: ""American by blood,"" ""No Zionists in government, we serve one nation"" and ""Reclaim America.""",
63,68049,10/26/2024,Madison,SD,Antisemitic Incident:Vandalism,,,Patriot Front,"Patriot Front, a white supremacist group, posted stickers that read: ""No Zionists in government, we serve one nation,"" ""Better dead than red"" and ""Life, liberty, victory.""",
64,68050,10/26/2024,Sioux Falls,SD,Antisemitic Incident:Vandalism,,,Patriot Front,"Patriot Front, a white supremacist group, posted stickers that read: ""Better dead than red"" and ""No Zionists in government, we serve one nation.""",
65,68051,10/26/2024,Salt Lake City,UT,Antisemitic Incident:Vandalism,,,Patriot Front,"Patriot Front, a white supremacist group, posted stickers that read: ""Better dead than red,"" ""No Zionists in government, we serve one nation,"" ""Life, liberty, victory"" and ""United we stand.""",
66,68052,10/26/2024,Lynchburg,VA,Antisemitic Incident:Vandalism,,,Patriot Front,"Patriot Front, a white supremacist group, posted stickers at Central Virginia Community College that read: ""No Zionists in government, we serve one nation,"" ""Strong families, strong nations,"" ""American by blood"" and ""For the nation, against the state.""",
67,68053,10/26/2024,Lynchburg,VA,Antisemitic Incident:Vandalism,,,Patriot Front,"Patriot Front, a white supremacist group, posted stickers that read: ""Better dead than red,"" ""No Zionists in government, we serve one nation,"" ""America first"" and ""One nation, against invasion.""",
68,68054,10/26/2024,Oak Creek,WI,Antisemitic Incident:Harassment,,,White Lives Matter (WLM),Individuals associated with the white supremacist group White Lives Matter distributed antisemitic propaganda around a residential neighborhood.,
69,67891,10/25/2024,Washington,DC,Antisemitic Incident:Assault,,,,"An individual on the D.C. Metro harassed an Israeli passenger, called them a ""fucking Zionist"" and ""baby killer,"" stole their bag, pushed them to the ground and threw their bag onto the train tracks.",
70,67892,10/25/2024,Seattle,WA,Antisemitic Incident:Vandalism,,,,Anti-Israel fliers were pasted on the door of the Holocaust Museum.,
71,68037,10/25/2024,Smithtown,NY,Antisemitic Incident:Vandalism,,,,"Graffiti was spray-painted on a road that read: ""Trump"" alongside several swastikas.",
72,67888,10/24/2024,Baltimore,MD,Antisemitic Incident:Vandalism,,,,"A hand-written antisemitic poster calling Jews ""monsters"" was pasted on a pole at an intersection.",
73,67889,10/24/2024,Raleigh,NC,Antisemitic Incident:Harassment,,,,"A Jewish business owner received an anti-Israel and antisemitic email that read: ""We will destroy Israel"" and ""We will kill you and bury you next to the synagogue.""",
74,67890,10/24/2024,Allentown,PA,Antisemitic Incident:Harassment,,,,"An individual yelled antisemitic statements at a Jewish customer in a store, including, ""This place is infested with Jews.""",
75,68035,10/24/2024,Whittier,CA,Antisemitic Incident:Harassment,,,,"A homeowner with a pro-Israel sign in the yard was harassed by their neighbor who yelled, ""Fuck the Jews.""",
76,68036,10/24/2024,Charlottesville,VA,Antisemitic Incident:Harassment,,,,Confidential.,
77,67885,10/23/2024,Los Angeles,CA,Antisemitic Incident:Harassment,,,,"An individual called a synagogue several times and yelled, ""Baby killer.""",
78,67886,10/23/2024,Santa Barbara,CA,Antisemitic Incident:Harassment,Right Wing (White Supremacist),,Goyim Defense League (GDL),"Individuals associated with the antisemitic Goyim Defense League pasted a flier on a wall in a public area that read: ""Every single aspect of the Jewish Talmud is Satanic.""",
79,67887,10/23/2024,Brooklyn,NY,Antisemitic Incident:Vandalism,,,,"Anti-Zionist graffiti was written on a wall that read: ""All Zionists are evil."" Fliers were also pasted on the wall that read: ""Glory to the martyrs victory to the resistance.""",
80,68034,10/23/2024,Springfield,MA,Antisemitic Incident:Harassment,,,,"A rideshare driver picked up a Jewish couple leaving synagogue and asked, ""Why are you Jewish?"" and ""Why are you praying in a terrorist Israel institution?"" When they asked to stop, he responded, ""Good, get out.""",
81,67877,10/22/2024,San Diego,CA,Antisemitic Incident:Harassment,,,,"A synagogue received a letter in the mail threatening Jews worldwide ""if Israel does not pull out of Gaza.""",
82,67878,10/22/2024,Beverly,MA,Antisemitic Incident:Vandalism,,,,A swastika was drawn for the second time in two weeks in a student residence area at a special education school.,
83,67879,10/22/2024,Saint Louis,MO,Antisemitic Incident:Vandalism,,,,"A student in the school scrawled a swastika, with the phrase ""We will rise"" written underneath the swastika, on the wall of a bathroom stall.",
84,67880,10/22/2024,Tenafly,NJ,Antisemitic Incident:Vandalism,,,,"An individual destroyed a ""Free the Hostages from Hamas"" sign in a homeowner's front yard.",
85,67881,10/22/2024,Manhattan,NY,Antisemitic Incident:Harassment,,,,"While driving on the West Side Highway with an ""I support Israel"" bumper sticker, an individual was targeted by a man in a black pickup truck who shouted, ""Fuck you, you Jew, I'm going to kill you,"" and demanded they pull over, yelling he was going to ""kill this Jew."" The man then swerved at them repeatedly and attempted to cut them off while following them.",
86,67882,10/22/2024,Manhattan,NY,Antisemitic Incident:Vandalism,,,,"""Hitler"" was found carved into a desk at a middle school.",
87,67883,10/22/2024,New York,NY,Antisemitic Incident:Harassment,,,,"An individual held a sign on a street corner that read: ""Israel kills 16,000 Palestinian children"" and yelled, ""Fuck you kike"" at a passerby.",
88,67884,10/22/2024,Austin,TX,Antisemitic Incident:Vandalism,,,,"Graffiti was spray-painted on a fence that read: ""Long Live Al-Aqsa Flood,"" a reference to Hamas's antisemitic terrorist attack in Israel on October 7, 2023.",
89,68033,10/22/2024,Richmond,VA,Antisemitic Incident:Vandalism,,,Patriot Front,"Patriot Front, a white supremacist group, posted stickers that read: ""No Zionists in government, we serve one nation,"" ""Defend American labor"" and ""Free occupied America.""",
90,67875,10/21/2024,Boulder,CO,Antisemitic Incident:Vandalism,,,,"A Star of David and the word ""Jew"" were spray-painted outside the dorm of a Jewish student at the University of Colorado, Boulder.",
91,67876,10/21/2024,Philadelphia,PA,Antisemitic Incident:Vandalism,,,,"Graffiti was written on a lamp post on the University of Pennsylvania campus that read: ""Sinwar lives. Kill Zios!"" with an inverted triangle. ""Kill your local Zio Nazi"" was written on a street pole across from the campus's Chabad.",
92,68027,10/21/2024,San Francisco,CA,Antisemitic Incident:Harassment,,,,"After receiving drawings from a neighbor, an individual found a note from their neighbor at their door that read: ""Can I have my drawings back? They're not for Jews.""",
93,68028,10/21/2024,Ames,IA,Antisemitic Incident:Harassment,,,,An individual was spotted in a store with swastika and Nazi insignia tattoos.,
94,68029,10/21/2024,Timonium,MD,Antisemitic Incident:Vandalism,,,,"Graffiti that read: ""Fuck Jews"" alongside a swastika was drawn in a high school bathroom.",
95,68030,10/21/2024,South Orange,NJ,Antisemitic Incident:Harassment,,,,"After a Jewish middle school student accidentally spilled juice on a classmate's lunch, the classmate said, ""I wish Hitler had gotten to you.""",
96,68031,10/21/2024,Dallas,TX,Antisemitic Incident:Harassment,,,,"Individuals associated with the antisemitic Westboro Baptist Church protested at a Holocaust Museum, holding signs with messages including: ""The Jews killed Jesus"" and ""Jews stole the land.""",
97,68032,10/21/2024,Seattle,WA,Antisemitic Incident:Vandalism,,,,"Graffiti that read: ""I Hate Jews"" was drawn on the window of a business.",
98,68022,10/20/2024,New Orleans,LA,Antisemitic Incident:Vandalism,,,,"The word ""Intifada"" was spray-painted in large letters on the side of a business. The business was also vandalized with: ""Judaism Ain't Zion*sm"" and ""Jakob is a lil' bitch!""",
99,68023,10/20/2024,Pikesville,MD,Antisemitic Incident:Vandalism,,,,An individual defaced a display in a homeowner's yard raising awareness for kidnapping victims of the October 7th Hamas attack.,
100,68024,10/20/2024,Austin,TX,Antisemitic Incident:Vandalism,,,,Swastika graffiti was spray-painted on cars in a residential neighborhood.,
101,68025,10/20/2024,Issaquah,WA,Antisemitic Incident:Vandalism,,,,"Graffiti was written under a bridge that read: ""Hail Hitler"" and ""Kikes own all"" along with several swastikas.",
102,68026,10/20/2024,Washington,DC,Antisemitic Incident:Harassment,,,,A Jewish non-profit received an anti-Israel email condemning rabbis for not doing enough to stop the war in Gaza.,
103,68013,10/19/2024,Ann Arbor,MI,Antisemitic Incident:Harassment,,,,Individuals associated with the antisemitic and anti-Israel group Witness for Peace protested outside a synagogue during shabbat services.,
104,68014,10/19/2024,Philadelphia,PA,Antisemitic Incident:Harassment,,,,"A poster was placed on a wall that read: ""Long Live Intifada.""",
105,68007,10/18/2024,Los Angeles,CA,Antisemitic Incident:Harassment,,,,"A Jewish institution received a voicemail from an individual who said, ""Shabbat shalom goyo"" and yelled the N-word multiple times.",
106,68008,10/18/2024,Denver,CO,Antisemitic Incident:Vandalism,,,,A mezuzah was ripped from the doorpost of a Jewish home and the scroll was taken out and thrown on the ground.,
107,68009,10/18/2024,Brookline,MA,Antisemitic Incident:Vandalism,,,,Stickers depicting an Israeli flag with a swastika in the middle were pasted on lamp posts outside of a synagogue.,
108,68010,10/18/2024,Cambridge,MA,Antisemitic Incident:Vandalism,,,,"Graffiti was spray-painted on a fence at a train station that read: ""Long live the Intifada, RIP Yaha Sinwar."" Sinwar was the leader of Hamas and architecht of the October 7, 2023, Hamas terrorist attack.",
109,68011,10/18/2024,Manchester,NH,Antisemitic Incident:Vandalism,,,,Swastika graffiti was drawn under a bridge.,
110,68012,10/18/2024,Philadelphia,PA,Antisemitic Incident:Harassment,,,,"A Jewish history museum received a letter in the mail that read: ""Do you all think your silly museum does ANY good trying to educate about your history when THIS is all the world sees?"" along with a newspaper clipping about the war in Gaza.",
111,68001,10/17/2024,Chicago,IL,Antisemitic Incident:Vandalism,,,,"Graffiti was drawn inside a portable toilet that read: ""Die Jews,"" ""Fuck Jews"" and ""White power,"" and included swastikas.",
112,68002,10/17/2024,Manhattan,NY,Antisemitic Incident:Harassment,,,,"A Jewish non-profit received an email that read: ""Zionist trash burn in hell and get raped.""",
113,68003,10/17/2024,White Plains,NY,Antisemitic Incident:Vandalism,,,,A swastika was carved into a desk at a high school.,
114,68004,10/17/2024,Raleigh,NC,Antisemitic Incident:Harassment,,,,"An individual left threatening antisemitic comments on a Jewish TikTok user's videos, including, ""The fewer Israelis there are, the better.""",
115,68005,10/17/2024,Alexandria,VA,Antisemitic Incident:Vandalism,,,,A mezuzah was ripped from the doorpost of a Jewish apartment.,
116,68006,10/17/2024,Washington,DC,Antisemitic Incident:Harassment,,,,"Signs were posted on lampposts that read: ""Intifada"" and ""May the children of Gaza dance on the rubble of Zionism.""",
117,67996,10/16/2024,Gilbert,AZ,Antisemitic Incident:Harassment,,,Goyim Defense League (GDL),"Individuals associated with the antisemitic Goyim Defense League distributed propaganda around a residential neighborhood that read: ""Every single aspect of the Covid agenda is Jewish.""",
118,67997,10/16/2024,Arroyo Grande,CA,Antisemitic Incident:Harassment,,,,A swastika was traced into dirt on a garbage can.,
119,67998,10/16/2024,Baltimore,MD,Antisemitic Incident:Vandalism,,,,"Graffiti was written on a street sign that read: ""Fuck Zionism.""",
120,67999,10/16/2024,Brooklyn,NY,Antisemitic Incident:Assault,,,,An individual yelled antisemitic remarks and threw an object at two passing Jewish women.,
121,68000,10/16/2024,Brooklyn,NY,Antisemitic Incident:Vandalism,,,,A swastika was drawn on a shared calculator at a middle school.,
122,67992,10/15/2024,Tujunga,CA,Antisemitic Incident:Vandalism,,,,Swastika graffiti was drawn in an office building.,
123,67993,10/15/2024,Charlotte,NC,Antisemitic Incident:Harassment,,,,"Anti-Zionist messages were written in chalk on a public message board, including: ""There kids were killed by Nazi Israel"" with inverted red triangles, a symbol that first appeared in Hamas propaganda videos. ",
124,67994,10/15/2024,Austin,TX,Antisemitic Incident:Vandalism,,,,Several swastikas were drawn on the desk of a high school student.,
125,67995,10/15/2024,Stafford,VA,Antisemitic Incident:Harassment,,,,"In class, a middle school student showed classmates drawings of a swastika and a caricature of a Jewish person with an exaggerated nose while sitting next to a Jewish classmate.",
126,67982,10/14/2024,Scottsdale,AZ,Antisemitic Incident:Harassment,,,,"A high school teacher made antisemitic remarks to two Jewish students after they asked for accommodations because a test fell on Yom Kippur, including: ""I don't care that you are Jewish"" and ""If you believed in Jesus, you would have come Friday after school [to retake the test].""",
127,67983,10/14/2024,Greenbrae,CA,Antisemitic Incident:Harassment,,,,"A note was placed on a Jewish individual's car that read: ""AIPAC's lobby member"" and ""Responsible for the Gaza slaughter.""",
128,67984,10/14/2024,Pasadena,CA,Antisemitic Incident:Harassment,,,,A Jewish middle school student received a text from a classmate telling her to go to a concentration camp.,
129,67985,10/14/2024,Thousand Oaks,CA,Antisemitic Incident:Vandalism,,,,"Two individuals spray-painted graffiti onto a Jewish-owned business, including messages that read: ""Fuck Jews"" and ""1488"" alongside SS bolts and swastikas.",
130,67986,10/14/2024,Kemp Mill,MD,Antisemitic Incident:Assault,,,,A rabbi was assaulted with a stick by an individual in front of a synagogue.,
131,67987,10/14/2024,Cambridge,MA,Antisemitic Incident:Harassment,,,,"A coffee shop distributed newspapers from the Writers Against the War on Gaza celebrating the one-year anniversary of October 7th that read: ""One year since Al-Aqsa Flood, revolution until victory!""",
132,67988,10/14/2024,Cambridge,MA,Antisemitic Incident:Vandalism,,,,A sticker depicting an Israeli flag with a swastika replacing the Star of David was pasted on a lamppost on the Harvard University campus.,
133,67989,10/14/2024,Woburn,MA,Antisemitic Incident:Harassment,,,,"A paper bag with writing on it was found on the ground that read: ""Jews R trash.""",
134,67990,10/14/2024,Seattle,WA,Antisemitic Incident:Harassment,,,,"A poster was pasted on a bus stop depicting a crossed-out Star of David with the words: ""Fuck you Israel.""",
135,67991,10/14/2024,Spokane,WA,Antisemitic Incident:Harassment,,,,A middle school student showed a Jewish classmate a video of Israel being bombed and performed a Nazi salute.,
136,67874,10/13/2024,Jupiter,FL,Antisemitic Incident:Harassment,Right Wing (White Supremacist),,Order of the Black Sun (OBS),"Individuals associated with the neo-Nazi group Order of the Black Sun gathered at a pro-Trump boat parade displaying Nazi flags and shouting, ""Sieg Heil,"" ""Heil Trump"" and ""We gotta make America white again.""",
137,67973,10/13/2024,Hot Springs,AR,Antisemitic Incident:Harassment,,,,"An individual yelled from their car at a passerby wearing a hat with a Star of David on it: ""Fucking Jew n-----!""",
138,67974,10/13/2024,La Jolla,CA,Antisemitic Incident:Harassment,,,,"A man on public transit yelled antisemitic slurs at a Jewish woman wearing a Star of David and told the woman to ""Burn in hell.""",
139,67975,10/13/2024,Los Angeles,CA,Antisemitic Incident:Harassment,,,,"A Jewish individual received a note from a neighbor calling them a ""Jewish spy.""",
140,67976,10/13/2024,Boulder,CO,Antisemitic Incident:Harassment,,,,"An individual stood outside an event raising awareness for kidnapping victims of the October 7, 2023, Hamas attack holding a sign that read: ""Hey Jews! Stop Supporting Genocide, end Israel"" with a crossed-out Israeli flag and an inverted red triangle, a symbol that first appeared in propaganda videos promoted by Hamas showing Israeli military targets.",
141,67977,10/13/2024,Jamaica Plain,MA,Antisemitic Incident:Harassment,,,,"A bookstore distributed newspapers from the Writers Against the War on Gaza celebrating the one-year anniversary of the October 7, 2023, terrorist attack that read: ""One year since Al-Aqsa Flood, revolution until victory!""",
142,67978,10/13/2024,White Plains,NY,Antisemitic Incident:Vandalism,,,,"Graffiti was spray-painted along a walkway that included swastikas, SS bolts and the words: ""White Jihad"" and ""White Boy Posse.""",
143,67979,10/13/2024,Portland,OR,Antisemitic Incident:Vandalism,,,,"Swastika graffiti was spray-painted on a wall at a public park alongside stickers that read: ""Cut a Zionist, a frail Nazi bleeds. Fuck Israhell, FREE PALESTINE.""",
144,67980,10/13/2024,Austin,TX,Antisemitic Incident:Harassment,,,,"A man driving near a Jewish fraternity at the University of Texas, Austin, tried to lure a passerby wearing a Star of David necklace by calling out and holding a penny out of his car window. When asked if he was being antisemitic, the man replied, ""Hell yeah I'm being antisemitic"" and attempted to grab the passerby.",
145,67981,10/13/2024,Issaquah,WA,Antisemitic Incident:Vandalism,,,Goyim Defense League (GDL),"Antisemitic graffiti and fliers were placed in a pedestrian tunnel, including swastikas, propaganda from the antisemitic Goyim Defense League and a message that read: ""Don't be a N----- lover.""",
