University,Date,Student,Quote,Number,Year
Harvard University,1/10/2024,Harvard University Chabad Rabbi Zarchi,"<p>“In my role as a rabbi to Harvard Jewish students, I’m an address they come to regularly to express their horror, and in some cases, their fear, that they are living among people who wish for and call for and celebrate the death of Jews."" <a href=""https://www.timesofisrael.com/antisemitism-skyrockets-on-harvards-social-media-after-claudine-gays-departure/"" target=""_blank"">Read more</a>
</p>",1281,2024
New York University,1/2/2024,NYU Jewish Student (Zach),"<div>""[He selected his spring semester courses by cross-referencing the signatures on the Faculty for Justice in Palestine letter that NYU professors released in the wake of October 7. He avoided classes taught by those whose names appeared on that document.] 'If I knew a teacher was on that list [UAW Local 7902 resolution calling for an immediate ceasefire in Gaza, the release of all 'Palestinian and Israeli hostages,' and an end to 'unconditional funding' of the Israeli government, which is accused in the document of 'occupation, apartheid, and ethnic cleansing.' I would absolutely self-censor. I would worry that I would be alienated and that my grades would suffer."" <a href=""https://www.nysun.com/article/the-cocktail-party-contrarian-vote-of-nyu-adjunct-faculty-union-on-gaza-war-puts-students-members-on-the-spot"" target=""_blank"">Read more</a>
</div>",1278,2024
New York University,12/31/2023,NYU Jewish Student Leader (Justin),"<p>""Unlike Dr. Gay and Dr. Magill, I was not accused of dehumanizing any group, nor subjecting certain people to visible double standards. I, myself, became the target of clear double standards for humanizing myself and my Jewish community amid the backdrop of peers chanting for the very genocidal rhetoric that these former administrators failed to distinguish as violatory."" <a href=""https://jewishjournal.com/commentary/opinion/366952/i-got-ousted-from-an-nyu-student-council-group-for-humanizing-jews/"" target=""_blank"">Read more</a> [From article: ""I Got Ousted From an NYU Student Council Group for Humanizing Jews""]
</p>",1279,2022
Cornell University,12/14/2023,Cornell University Jewish Student (Zoe),"<p>""I am using this strong language to convey the distress of the Cornell Jewish community. We are hurting. We are in distress."" <a href=""https://www.algemeiner.com/2023/12/14/jewish-students-at-cornell-are-hurting-but-no-one-seems-to-care/"" target=""_blank"">Read more</a>
</p>",1276,2023
Drew University,12/14/2023,Drew University Jewish Student (Sarah),"<p>""The student body is very opinionated and there's lots of advocacy for all sorts of things like race, gender and sexuality. So when all this happened, I thought there would be some support for the Jewish students. But it's been the opposite."" <a href=""https://www.northjersey.com/story/news/education/2023/12/14/drew-university-jewish-students-fear-kidnapped-posters-justice-palestine-social-media-israel-hamas/71891872007/?fbclid=IwAR0Hq058Fdcs2qdtpgJT6JglzJIlWXY9A0X1xaNF7IEw4GtNathJk7N2IXE_aem_AU3IpH77v7qdTb7_NslZI5sj1wigYHibUB9VJ-2opoqNKmpEJtUDzAF0ZycdZ9IsXBw#lq5r00q4utzmvzpydvq"" target=""_blank"">Read more</a>
</p>",1277,2023
Arizona State University,12/12/2023,Arizona State University Jewish Student (Aleeza),"<p>""From that moment on, I felt it was unsafe to be walking alone on campus as a Jewish woman. I can't focus in my classes. How am I supposed to study for an exam when I can't walk to my tutoring without being harassed?"" <a href=""https://www.azcentral.com/story/news/politics/arizona-education/2023/12/12/arizona-house-committee-hears-concerns-about-antisemitism-in-education/71884150007/"" target=""_blank"">Read more</a>
</p>",1275,2023
Denison University,12/6/2023,Denison University Faculty Members (Faculty Letter),"<p>""We call upon our community to come together in the tradition of civic discourse to listen, discuss, and learn about the complexities of the situation, not to chant slogans that fan the flames of discord and cause many of our students, faculty, and staff members to feel silenced, hated, and unsafe."" <a href=""https://denisonian.com/2023/11/opinion/response-to-statement-on-justice-in-palestine-a-letter-to-our-communities/"" target=""_blank"">Read more</a>
</p>",1274,2023
San Francisco State University,11/30/2023,Executive Director of SF Hillel (Rodger),"<p>""You hear from students that need to hide their Jewish identity. They need to hide their Star of David necklace when they’re on campus."" <a href=""https://goldengatexpress.org/104961/campus-original/antisemitic-graffiti-found-on-campus/"" target=""_blank"">Read more</a>
</p>",1273,2023
Brown University,11/26/2023,Brown University Jewish Student (Jillian),"<p>""[Most pro-Israeli Jewish students I know] feel under siege. At the least, harassment should be condemned and disciplined. [I mean] specific cases, not bland general statements. I can’t imagine comparable actions committed on any other group on campus being tolerated in this way... what’s happening [to Jews] here [at Brown University] right now is awful and shocking."" <a href=""https://www.providencejournal.com/story/news/columns/2023/11/26/brown-university-student-actions-display-antisemitism-problem-patinkin/71656513007/"" target=""_blank"">Read more</a>
</p>",1272,2023
Columbia University/Barnard College,11/21/2023,Columbia University Jewish Student (Noa),"<p>[describing watching a pro-Palestinian protest on campus that contained antisemitic rhetoric including ""From the river to the sea""]: ""I started crying when I was there. It was a Nazi rally, just with a different flag and different language."" <a href=""https://nymag.com/intelligencer/article/who-gets-to-protest-at-columbia-university.html"" target=""_blank"">Read more</a>
</p>",1271,2023
University of Arizona,11/16/2023,University of Arizona Jewish Student (Avery),"<p>""I do not wear my Star of David necklace because my parents have begged me not to. I even started tearing up and had to walk out of class once because I was at a table with a group of students talking about their backgrounds and I was too scared to share with them that I am Jewish."" <a href=""https://tucson.com/news/local/education/college/university-arizona-israel-hamas-war-suspends-professors-classroom-speech/article_fe1f560a-8340-11ee-8660-f7663467ed70.html"" target=""_blank"">Read more</a>
</p>",1269,2023
George Washington University,11/16/2023,GWU Jewish student (Phil),"<div>""It would be ideal for the tension to go down. I have not gone to synagogue [or] Jewish events for the last few weeks out of safety concerns. I don’t want to be a target."" <a href=""https://www.dcnewsnow.com/news/local-news/washington-dc/gwu-students-rally-after-pro-palestine-student-group-is-suspended-for-90-days/"" target=""_blank"">Read more</a>
</div>",1270,2023
Indiana University Bloomington,11/14/2023,Indiana University Bloomington Jewish Student (Alex),"<p>[In a formal resignation letter from their position as treasurer of the student government] ""As a Jewish student on Campus and Treasurer of IUSG, I can no longer be part of this administration due to its failure to address the rise in antisemitism on campus."" <a href=""https://twitter.com/FineEthan/status/1724424244312904045/photo/1"" target=""_blank"">Read more</a>
</p>",1265,2023
Blue Ridge Community College,11/14/2023,Indiana University Bloomington Student and Former DEI Director of Student Government,"<p>[In a formal resignation letter from their position as DEI director of the student government] ""As the director of Diversity, Equity, and Inclusion, it is with a heavy heart that I am leaving this organization. In both public and private conversations, it is clear the IUSG President's rhetoric is blatantly antisemitic, intentionally neglecting the experience of Jewish students on campus... When I have made an effort to address these clear instances of bias and antisemitism, I have been called Islamaphobic, even amidst my many efforts to combat Islamophobia on campus... I am not a Jewish student on campus, but I surely know this: diversity, equity, and inclusion is not achieved through the exclusion of Jewish students."" <a href=""https://twitter.com/FineEthan/status/1724424244312904045/photo/1"" target=""_blank"">Read more</a>
</p>",1266,2023
University of California Los Angeles,11/14/2023,UCLA Jewish Student (Bella),"<p>""We have watched as students, professors, and even friends (equate) terrorism with liberation, perpetuate antisemitism, and even celebrate the deaths of our loved ones."" <a href=""https://calmatters.org/education/higher-education/2023/11/israeli-palestinian-conflict-california-college/"" target=""_blank"">Read more</a>
</p>",1267,2023
Virginia Polytechnic Institute,11/14/2023,Virginia Tech Jewish Student (Noa),"<p>""[O]n college campuses my peers are hiding their Jewish identities, afraid to share their views and attacked for believing Israel has a right to defend itself. This is not one side versus the other. There is no moral equivalence between the actions of the Israeli government and Hamas."" <a href=""https://www.collegiatetimes.com/news/virginia-tech-students-speak-out-about-the-israel-palestine-conflict/article_8be0ca16-818c-11ee-916b-db812f6c416c.html"" target=""_blank"">Read more</a>
</p>",1268,2023
Harvard University,11/13/2023,Harvard University Jewish Graduate Student (Shani),"<p>""The [Harvard Graduate Student Union-United Auto Workers after passing a BDS resolution] kind of failed its basic role in protecting members and being in solidarity with members that are Israeli or Jewish.""<a href=""https://www.thecrimson.com/article/2023/11/13/hgsu-bds-statement/"" target=""_blank"">Read more</a>
</p>",1264,2023
Tulane University,11/10/2023,Tulane University Jewish Student (Eden),"<p>""I know a lot of my friends are nervous to wear their Star of David necklaces, to wear a kippah or even come into this [Tulane Hillel] building."" <a href=""https://www.timesofisrael.com/clashes-over-israel-hamas-war-shatters-sense-of-safety-on-us-college-campuses/"" target=""_blank"">Read more</a>
</p>",1263,2023
American Jewish University,11/9/2023,American University Jewish Student (Unnamed) [Describing their experience with the “Shut it Down for Palestine” protest on campus],"<p>“While the AUPD was there, they did nothing and let the protestors block the entrance. We were too scared to approach the protestors and go in. AUPD and other staff members told us that it was too dangerous. A Jewish student tried, and a staff member stopped them. Feeling unsafe on the Quad, a Hillel staff member suggested we go to their office to decompress and have a safe space. We complied and left to go to the Hillel office. The whole situation was frightening and intimidating, and I felt the AU staff was helpless and ineffective. They sat around watching the rally, waiting for it to end, rather than shutting it down so the protestors weren’t taking over an academic building or blocking an entrance to an important building like MGC.” <a href=""https://freebeacon.com/wp-content/uploads/2024/01/AU-Complaint-redacted-v1.1_Redacted.pdf"" target=""_blank"">Read more</a>
</p>",1285,2023
American University,11/9/2023,American University Jewish Student (Unnamed) [Describing their experience with the “Shut it Down for Palestine” protest on campus],"<p>“With the extra noise, it was extremely difficult to focus on class. I had to ask my professor to repeat important points of her lecture many times, which was frustrating for her and me… When I brought up my frustration with my professor, she told us to ignore them and had to raise her voice to teach over the chanting. Our windows were closed, and yet it was still so loud. The students had megaphones and were purposefully being disruptive to get attention. This overwhelming event resulted in students, including myself, having anxiety attacks and some had panic attacks for fear for their safety. The American University Police Department (“AUPD”) was called and did nothing to de-escalate the situation …In the last 40 minutes of my class, we tried to stay on topic, but I was shaking and felt like I was going to cry. I was scared, frustrated, and sad that this had become our reality. ” <a href=""https://freebeacon.com/wp-content/uploads/2024/01/AU-Complaint-redacted-v1.1_Redacted.pdf"" target=""_blank"">Read more</a>
</p>",1286,2023
University of California San Diego,11/8/2023,UCSD Jewish Student (Brooke),"<p>""[Y]ou need to imagine how we feel now and just imagine how I’m still afraid to wear my Jewish star necklace."" <a href=""https://ucsdguardian.org/2023/11/05/associated-students-senate-delays-vote-on-resolution-condemning-antisemitism/"" target=""_blank"">Read more</a>
</p>",1258,2023
University of South Florida,11/8/2023,USF Jewish Student (Alexa),"<p>""We are scared. We don’t want to go to class. We don’t want to go to the library by ourselves... It is just blunt anti-semitism. So I don’t feel comfortable walking on campus, I know my friends don’t either."" <a href=""https://www.usforacle.com/2023/11/08/we-are-scared-jewish-students-feel-unsafe-amid-israel-palestine-conflict/"" target=""_blank"">Read more</a>
</p>",1259,2023
University of South Florida,11/8/2023,USF Jewish Student (Rebecca),"<p>""People have commented on my Instagram like ‘Hitler was right’ or ‘We are finishing Hitler’s job.' It is scary, these people are my peers."" <a href=""https://www.usforacle.com/2023/11/08/we-are-scared-jewish-students-feel-unsafe-amid-israel-palestine-conflict/"" target=""_blank"">Read more</a>
</p>",1260,2023
Tufts University,11/8/2023,Tufts University (Tufts Friends of Israel),"<p>""[W]hen Jews say they’re scared at Tufts, look no further than the hatred that their classmates are spewing. The threat of antisemitism is real, credible and apparent on our campus. It’s clear as day."" <a href=""https://www.tuftsdaily.com/article/2023/11/op-ed-tufts-campus-climate-is-unsustainable-for-jewish-and-pro-israel-students"" target=""_blank"">Read more</a>
</p>",1261,2023
Cornell University,11/8/2023,Cornell University Jewish Student (Amanda),"<p>""I never thought twice about putting on my Jewish star every day, about opening my computer with my Hebrew keyboard in class. But today, I do think twice about that. And the thought of being persecuted for who I am, being looked at differently and being discriminated against crosses my mind multiple times a day."" <a href=""https://ny1.com/nyc/all-boroughs/politics/2023/11/08/conservative--jewish-students-testify-they-re-being-silenced-on-college-campuses"" target=""_blank"">Read more</a>
</p>",1262,2023
Tufts University,11/7/2023,Tufts University Jewish Student and TCU Senator (Sophie),"<p>""They pushed my table forward into the center of the square of tables. About the same time that they did that, one of them pushes me [to the side]... It was more than just an accidental bump; it was clearly pushing me out of their path. [This was the] least safe [I have] ever felt on Tufts campus."" <a href=""https://www.tuftsdaily.com/article/2023/11/students-protest-tufts-israeli-investments-during-tcu-meeting-with-kumar"" target=""_blank"">Read more</a>
</p>",1256,2023
University of Massachusetts Amherst,11/6/2023,UMass Jewish Student (Carl),"<p>[After being punched in the head multiple times and kicked in the stomach at a Hillel event to bring awareness to kidnapped Israeli civilians held in Gaza by Hamas] ""Seeing what’s going around in the world and on college campuses across the country, it’s been extremely difficult. Then, to have this happen, it’s really hard to feel safe going to classes or going to the library to study."" <a href=""https://whdh.com/news/jewish-student-speaks-out-after-being-attacked-on-umass-amherst-campus/"" target=""_blank"">Read more</a>
</p>",1257,2023
Columbia University/Barnard College,10/30/2023,Columbia University Jewish Student (Jessica),"<p>""I feel walking on campus many people just want me to die. I have to walk around and go to my class and see someone and think they might want me to not exist or not want my people to exist — I don’t take a step without thinking about that. When I’m asked ‘do you feel safe at Columbia University?’, I say ‘no. I don’t feel safe. When I see my fellow students turn a blind eye to the blatant antisemitism on campus, I do not feel safe. Now I get it, I actually understand how the Holocaust happened. When Columbia professors band together and sign a letter that basically justifies Hamas’ actions, I do not feel safe."" <a href=""https://nypost.com/2023/10/30/metro/jewish-columbia-students-slam-universitys-inaction-against-antisemitism/"" target=""_blank"">Read more</a>
</p>",1254,2023
Columbia University/Barnard College,10/30/2023,Columbia University Jewish Student (Noah),"<p>""It was always hard for my generation to comprehend how the Nazis could have mobilized — how did the gentile bystanders fall victim to propaganda so effectively they quickly became the perpetrators themselves? The saturation of anti-Israel propaganda on campus has convinced the majority of the student body of the same insidious theories through which the Holocaust was enacted. The student body at Columbia and our peer institutions has been so thoroughly propagandized they do not see and refuse to see the extent of their fear and hatred towards the Jewish people. This is antisemitism at its core."" <a href=""https://nypost.com/2023/10/30/metro/jewish-columbia-students-slam-universitys-inaction-against-antisemitism/"" target=""_blank"">Read more</a>
</p>",1255,2023
Lafayette College,10/27/2023,Lafayette College Jewish Student (Requested to Remain Anonymous),"<p>""It’s intimidating [to see Pards for Palestine have a sign calling for the destruction of Israel]. As somebody who chose a college because I knew I’d be accepted for being Jewish, it was eye-opening. Calling for the eradication of Israel and the pushing out of everyone ‘from the river to the sea’ is a dangerous message to have."" <a href=""https://lafayettestudentnews.com/153786/news/pro-palestine-protest-promotes-peace-generates-backlash/"" target=""_blank"">Read more</a>
</p>",1252,2023
Tulane University,10/27/2023,Tulane University Jewish Student (Eliana),"<p>""I’m scared to go to class. I stayed in my dorm for hours until I knew the rally was over – until I got text messages from Jewish groups saying it’s safe for students to come out. Tulane police should have shut down the [SJP] protest immediately after it got violent. Instead it went on for hours."" <a href=""https://jewishinsider.com/2023/10/pro-palestinian-protesters-assault-several-jewish-students-at-tulane-2/"" target=""_blank"">Read more</a>
</p>",1253,2023
University of California Berkeley,10/23/2023,UC Berkeley Faculty Member (Noam),"<p>""Both Jewish faculty and students are experiencing significant marginalization and exclusion that has only increased in the last two weeks since the Hamas massacres, torture and hostage taking in Israel with hostility, harassment, intimidation and abuse of Jewish university community members increasing. It is appalling and unacceptable. I never expected such treatment at UC Berkeley and such lack of support, solidarity, empathy, and moral leadership and example. We need the administration to change course urgently and repair the harm caused to members of our Jewish community and allies. I am a passionate defender of free speech. But its defense does not absolve UC Berkeley of its civil rights legal obligations to prevent discrimination on the basis of religion."" <a href=""https://www.insidehighered.com/opinion/letters/2023/10/23/campus-discrimination-against-jews-who-are-zionists-too"" target=""_blank"">Read more</a>
</p>",1247,2023
Georgetown University,10/23/2023,Georgetown University Jewish Student (Michael),"<p>""It's no doubt that Jewish students feel unsafe on campus when this is the kind of thing that's allowed: Jewish students being intimidated for speaking out in favor of Israel."" <a href=""https://www.foxbusiness.com/politics/college-students-detail-jewish-community-intimidated-speaking-campuses"" target=""_blank"">Read more</a>
</p>",1248,2023
New York University,10/23/2023,New York University Jewish Student (Ruthie),"<p>""Even in previous semesters, you could feel a lot of anti-Zionist sentiment. I definitely don't want to go through my daily life feeling at risk of being assaulted in any way."" <a href=""https://www.foxbusiness.com/politics/college-students-detail-jewish-community-intimidated-speaking-campuses"" target=""_blank"">Read more</a>
</p>",1249,2023
Rutgers University - New Brunswick,10/23/2023,Rutgers University Jewish Student (Shari),"<p>""I have some friends who have never considered taking off their kippah, which is their religious head covering, to go to class and, right after this, started considering that, which is really terrifying."" <a href=""https://www.pbs.org/newshour/show/israel-hamas-war-leads-to-heated-debate-and-protests-on-college-campuses"" target=""_blank"">Read more</a>
</p>",1250,2023
Columbia University/Barnard College,10/23/2023,Columbia University Jewish Student (Yola),"<p>""The rise of antisemitism on our campus has been abhorrent . There are people over there who are cheering with Palestinian flags after women were raped and stripped and then taken, their dead corpses were raided through the streets of Gaza."" <a href=""https://www.pbs.org/newshour/show/israel-hamas-war-leads-to-heated-debate-and-protests-on-college-campuses"" target=""_blank"">Read more</a>
</p>",1251,2023
Georgetown University,10/18/2023,Georgetown University Jewish Student (Julia),"<p>""From the moment the terror attacks occurred, the university became a hostile environment for Jewish students. Students are afraid to go to class. You have to sit next to classmates who publish antisemitic rhetoric, who promote rallies that endorse antisemitic rhetoric. People are afraid, and the universities are not doing their part, not opposing it. They are silent."" <a href=""https://www.israelnationalnews.com/news/378689"" target=""_blank"">Read more</a>
</p>",1245,2023
Georgetown University,10/18/2023,Georgetown University Jewish Student (Michael),"<p>""There have been claims that some of the atrocities by Hamas, including the beheading of babies, never occurred. The biggest problem is actually the fact that student organizations have sprung up on campus, and they are the ones who are largely spewing this antisemitic rhetoric. We had a rally a week ago in favor of Hamas."" <a href=""https://www.israelnationalnews.com/news/378689"" target=""_blank"">Read more</a>
</p>",1246,2023
Columbia University/Barnard College,10/17/2023,Columbia University Jewish-Israeli Student (I.A.),"<p>""We were all kind of shocked that this stuff can happen on our own campus, which should be a safe haven. We don’t know how to handle the situation, let alone that our families and friends are going through the worst nightmare, and we are mentally in the same ship with them. And, now, we have to handle the situation that campus is not a safe place for us anymore."" <a href=""https://mynbc15.com/news/nation-world/19-year-old-charged-with-hate-crime-after-beating-israeli-student-report-says-maxwell-friedman-columbia-university"" target=""_blank"">Read more</a>
</p>",1244,2023
Cornell University,10/16/2023,"Cornell University Jewish Student (Ethan) - [Following Professor Rickford claiming Hamas' actions of massacring, torturing, kidnapping and maiming thousands of Israeli civilians was ""exhilarating""]","<p>""[Professor Rickford's] words were directly in support of violence. It was the next level to where things started to feel uncomfortable being there. There was no point before that... I never felt like my personal safety was at risk until we started hearing that the actions of Hamas exhilarate another person, because those actions are completely and entirely focused on one objective, which is causing as much suffering, as much terror and as much horror to Jewish civilians, Jewish people as possible."" <a href=""https://cornellsun.com/2023/10/16/cornell-professor-exhilarated-by-hamass-attack-defends-remark/"" target=""_blank"">Read more</a>
</p>",1242,2023
Cornell University,10/16/2023,"Cornell University Jewish Student (Netanel) - [Following Professor Rickford claiming Hamas' actions of massacring, torturing, kidnapping and maiming thousands of Israeli civilians was ""exhilarating""]","<p>""You can’t have a situation where you have a professor on this campus... make comments like it should feel exhilarating to massacre civilians and murder babies. And that he felt exhilarated by it. That’s the first step to the incitement of violence towards a group."" <a href=""https://cornellsun.com/2023/10/16/cornell-professor-exhilarated-by-hamass-attack-defends-remark/"" target=""_blank"">Read more</a>
</p>",1243,2023
Columbia University/Barnard College,10/15/2023,Columbia University Jewish Student (David),"<p>""Jewish students are afraid."" <a href=""https://www.reuters.com/world/us/us-colleges-become-flashpoints-protests-both-sides-israel-hamas-war-2023-10-13/"" target=""_blank"">Read more</a>
</p>",1241,2023
University of Washington,10/12/2023,University of Washington Jewish Student (Unnamed),"<p>""How is this allowed, how are you allowing this, they want us dead, please end it [the pro-Palestinian rally following Hamas' massacre and maiming of thousands of Jews]"". <a href=""https://twitter.com/mozgovaya/status/1712562024440549450"" target=""_blank"">Read more</a>
</p>",1240,2023
Duke University,10/11/2023,Duke University Jewish Community,"<p>""The Duke Chronicle has asked us for our ‘reaction.’ This was a massacre. Many of these victims are people just like us — college-aged innocent partygoers. Our families, friends and loved ones are actively in danger. We are in no place to share our ‘thoughts’ or ‘opinions.’ We are mourning. We are devastated."" <span style=""color:rgb(255, 255, 255);""><a href=""https://www.dukechronicle.com/article/2023/10/duke-university-jewish-israel-student-statement"" target=""_blank"">Read more</a></span>
</p>",1239,2023
Emory University,10/10/2023,Emory University Students in Support of Israel,"<p>""An estimated 30% of Emory’s student body identifies as Jewish. Your silence is an utter disservice and embarrassment. We are unsatisfied with blank statements that do not condemn Hamas or acknowledge the severe trauma our community is undergoing... It simply should not be difficult to condemn terrorism and barbaric violence in a timely manner. Silence during this time is akin to that of the Holocaust... There are currently 45 anti-Israel community rallies and 20 anti-Israel campus rallies this week, the closest one to Emory being just six miles away from us at Georgia State University. Jewish students do not feel safe on Emory’s campus."" <a href=""https://emorywheel.com/condemn-terror-and-stand-with-israel-open-letter-to-president-fenves-and-emory-administration-by-emory-students-in-support-of-israel/"" target=""_blank"">Read more</a>
</p>",1237,2023
College of William and Mary,10/10/2023,College of William and Mary Jewish Student (Ori),"<p>""We were approached quite aggressively by a bunch of people. They just came up called us ‘dirty Zionists,’ ‘colonizer,’ ‘pigs,’ ‘rapists,’ ‘murderers,’ ‘baby killers,’ you name it, we heard it."" <a href=""https://www.wavy.com/news/local-news/williamsburg/jewish-wm-students-say-other-students-verbally-assaulted-them-due-to-war-in-israel/"" target=""_blank"">Read more</a>
</p>",1238,2023
Stanford University,10/7/2023,Stanford University Jewish Student (Julia) - [Following support for Hamas' massacre of civilians as 'resistance' and 'decolonization'],"<p>""I now realize why Jewry is so vigilant in defending itself: we are under constant danger. And I understand why Jewish students across Stanford are frightened."" <a href=""https://stanfordreview.org/stanford-students-promote-terrorism/"" target=""_blank"">Read more</a>
</p>",1236,2023
