Description,Auto Increment,Date,Category,University,Year
"<p>A <a href=""https://docs.google.com/document/d/17SvDX8wf-XP3cNmgfPYrmr7_NWunJntyh8J3Jpwsgcc/edit"" target=""_blank"">resolution</a> against antisemitism <a href=""https://www.stanforddaily.com/2019/02/27/resolution-against-anti-semitism-passes-senate-unanimously-after-lengthy-debate/"" target=""_blank"">passed</a> unanimously in the undergraduate student senate. The resolution referenced the International Holocaust Remembrance Association (IHRA) definition of antisemitism. </p>",29,2/26/2019,"General A/S, IHRA Definition",Stanford University,2019
"<p>The student government <a href=""https://www.algemeiner.com/2018/12/18/wake-forest-university-students-adopt-antisemitism-definition-denounce-denial-of-jewish-self-determination/"">passed</a> a <a href=""https://docs.google.com/document/d/1OIDhelMObU6y_tIOl1eDufnIRnjagFEAyHoKpi2h82I/edit?fbclid=IwAR1bCbPOBqrMmRfCfrzCDgqnP_yWFwQ0GYT8OLXQJ8RaFOzTHpEekG-GkU8"">resolution</a> that defined antisemitism using the State Department definition of antisemitism,  acknowledged that “some, but not all, criticisms of and attacks on the State of Israel can be anti-Semitic dog-whistles” and bound the student government to “not deliberately facilitate, promote, fund, or participate in any activities that directly promote anti-Semitism or undermine the rights of Jewish people.”</p>",21,12/18/2018,SD Definition,Wake Forest University,2018
"<p>The student government <a href=""http://dailynexus.com/2019-04-07/a-s-senate-condemns-anti-semitism-in-response-to-anti-semitic-fliers/"">passed</a> a <a href=""https://docs.google.com/document/d/1CBLwvaHlKgwzsawdwbqISV866HjBf5O2t6sewliYpOw/edit?fbclid=IwAR1R1JRycQZCzCHUd0VbHjqIX6Ckme5kndlMnyEJ3P5dL4v9gTmDBaZ8UC4"">resolution</a> that defined antisemitism using the International Holocaust Remembrance Alliance (IHRA) definition. Date of passage is approximated.</p>",20,10/1/2018,IHRA Definition,University of California Santa Barbara,2018
"<p>The Senate passed the “Support of Aggie Israelis and Protection of Jewish Students Resolution” with a vote of 38 in favor, 6 against, and 12 abstentions. The resolution <a href=""http://www.thebatt.com/news/student-senate-compromises-on-israel-resolution-swears-in-new-senators/article_013f6742-22e6-11e8-8b9b-130f6d8a2010.html"">contained</a> anti-BDS language, including <a href=""http://www.ssimovement.org/texas-am-university.html"">stating</a>, “According to the definition of anti-Semitism adopted by the U.S. Department of State, European Union, Canada, and major Jewish organizations, the Boycott, Divestment, and Sanctions (BDS) Movement is anti-Semitic in its effect, if not in its intent…Student Senate stands with Jewish and Israeli students as a valued member of the Aggie family; and While the Student Senate will respect the right of all students to freedom of speech, it will not facilitate, promote, or participate in any activities that promote BDS or any other form of anti-Semitism.”</p>",18,3/7/2018,"SD Definition, Anti-BDS",Texas A & M University,2018
"<p>The Associated Students of Madison unanimously <a href=""https://www.facebook.com/ASMStudentGov/posts/10154627695086567"">passed</a> a resolution against antisemitism that cites the U.S. State Department’s definition of antisemitism, and notes “anti-Semitic incidents tend to occur when anti-Israel legislation are introduced in student government or in a student body.”</p>",17,9/5/2017,SD Definition,"University of Wisconsin, Madison",2017
"<p>The student government at Chapman University in California <a href=""https://www.campusreform.org/?ID=9180"">passed</a> a resolution condemning anti-Semitism titled, “Resolution To Condemn Campus Anti-Semitism,” which was approved by a vote of 8-0-3. The resolution refers to “overwhelming incidents of anti-Semitism occurring nationwide, locally, and directly on campus,” and commits the student government to “an official stand against anti-Semitism” by adopting the U.S. State Department’s definition of anti-Semitism.</p>",16,5/15/2017,SD Definition,Chapman University,2017
"<p>San Diego State University Associated Students (A.S.) passed <a href=""https://as.sdsu.edu/govt/resources/legislation_resolution.php?legis=139"">“A Resolution to Condemn Anti-Semitism.”</a> In passing this resolution, A.S. formally adopted the State Department definition of antisemitism, which includes demonization, double standards, and delegitimization of Israel. They recognized, “that the Jewish people, like all peoples, have a collective right to self-determination” and condemned attempts to “undermine” these rights.</p>",15,4/19/2017,SD Definition,San Diego State University,2017
"<p>The student government <a href=""https://www.algemeiner.com/2017/03/12/honored-to-have-made-my-mark-on-kent-state-says-jewish-student-behind-antisemitism-resolution/"">passed</a> a resolution against antisemitism in a 18-0-3 vote. The resolution <a href=""http://www.kentwired.com/article_5e99ba80-0471-11e7-9fd3-4bd95b192f17.html"">initially</a> used the State Department definition of antisemitism as well as anti-BDS language. However, the final resolution passed removed the anti-BDS language as well as re-defined antisemitism as “hostility toward, or discrimination against, Jewish persons as a religious, ethnic, or racial group.”</p>",13,3/7/2017,General A/S,Kent State University,2017
"<p>The student government of The University of Texas at Austin (UT Austin) unanimously <a href=""http://www.dailytexanonline.com/2017/03/08/student-government-passes-resolution-in-support-of-jewish-students"">approved</a> A.R. 26, which condemned recent antisemitic incidents in and around the campus.</p>",14,3/7/2017,General A/S,University of Texas Austin,2017
"<p>The Student Government <a href=""http://www.theeastcarolinian.com/news/article_1ae5eae6-fef1-11e6-ab17-6f2658ebc67c.html"">passed</a> a resolution against antisemitism titled, “The Fight Against Anti-Semitism Resolution” that included the U.S. State Department definition of antisemitism. The resolution was brought to SGA’s attention due to instances of antisemitism within the ECU community including graffiti targeting Jewish students found on campus and in off campus homes of Jewish students.</p>",12,3/1/2017,SD Definition,East Carolina University,2017
"<p>The Stanford University student senate unanimously <a href=""http://www.jweekly.com/article/full/77382/stanford-student-senate-approves-anti-semitism-bill"">approved</a> a resolution defining and condemning anti-Semitism. The resolution was contentious prior to passing as numerous statements (<a href=""https://www.stanforddaily.com/2019/02/27/resolution-against-anti-semitism-passes-senate-unanimously-after-lengthy-debate/"" target=""_blank"">including</a> the IHRA definition) were removed from it. Final wording stated that “many Jewish students worry that implicit anti-Jewish biases may give rise to disproportionate criticism of the State of Israel or Zionism as an ideology.” The measure also condemned “delegitimization of Israel based explicitly on the state’s Jewish nature” and recognized that “the collective rights to self-determination of the Jewish people are no different than any other people.”</p>",11,4/19/2016,"General A/S, IHRA Definition",Stanford University,2016
"<p>Jewish Student Association and Students Supporting Israel presented an antisemitism resolution that unanimously <a href=""http://www.clevelandjewishnews.com/news/local_news/capital-u-student-government-oks-anti-semitism-policy/article_7588fb98-f680-11e5-95f2-ef44c055b475.html"">passed</a> in Student Government. The resolution states, “While the membership of student government will respect the right of all students to exercise their freedom of speech, as an organizational body it will not facilitate, promote, fund or participate in any activities that directly or indirectly promote anti-Semitism or undermine the rights of the Jewish people to self-determination.” The resolution also mentions the boycott, divestment and sanctions movement by noting, “The membership of Capital University’s student government recognizes that the Jewish people, like all peoples, have a collective right to self-determination, and considers attempts to undermine these rights to be a form of bigotry.</p>",10,3/30/2016,Anti-BDS,Capital University,2016
"<p>Students Supporting Israel at Indiana University <a href=""http://www.ssimovement.org/indiana-resolution.html"">passed</a> a Resolution in Student Government that adopts State Dep’t definition of antisemitism relative to Israel. The resolution <a href=""http://www.ssimovement.org/indiana-university-resolution.html"">stated</a>, “The Indiana University Student Association adopts the definition of anti-Semitism as stated above as well as the State Department’s understanding of Anti-Semitism relative to Israel… The Indiana University Student Association recognizes that the Jewish people, like all peoples, have a collective right to self-determination, and considers attempts to undermine these rights, including the global BDS Movement against Israel, to be a form of bigotry""</p>",9,12/2/2015,"General A/S, SD Definition, Anti-BDS",Indiana University Bloomington,2015
"<p>The Student Senate of Texas A&amp;M University unanimously passed the country’s first pro-Israel student government resolution. <a href=""http://tamuhillel.org/a/texas-am-student-senate-passes-first-pro-israel-resolution/"">The resolution</a>, “A resolution supporting the nation of Israel from the Student Senate of Texas A&amp;M University,” called upon the university to invest in Israel and to expand study-abroad opportunities for A&amp;M students in Israel.”</p>",8,10/7/2015,Study Abroad in Israel,Texas A & M University,2015
"<p>The Associated Students Senate of the University of Nevada, Reno unanimously passes a <a href=""http://www.nevadaasun.com/fbsite/fb_files/04-08-2015%20Senate%20Agenda-mtg-965.pdf"">Resolution for Semitic Tolerance</a> which states: ""Whereas, anti-Semitism is a growing trend on college campuses; Whereas, anti-Semitic actions are correlated with movements to boycott, divest, and sanction against Israel""</p>",7,4/8/2015,General A/S,"University of Nevada, Reno",2015
"<p>The Associated Students Senate <a href=""http://dailynexus.com/2015-04-02/a-s-senate-meeting-discusses-uc-divestment-anti-semitism/"">passes</a> a <a href=""https://amchainitiative.org/wp-content/uploads/2015/05/A-Resolution-Condemning-Anti-Semitism-UC-Santa-Barbara.pdf"">resolution</a> to condemn antisemitism with a vote of 23-0 with one abstention. The resolution alludes to the US State Department's definition of antisemitism.</p>",6,4/1/2015,SD Definition,University of California Santa Barbara,2015
"<p>The undergraduate student government unanimously <a href=""http://dailybruin.com/2015/03/10/usac-unanimously-passes-resolution-condemning-anti-semitism/"">passed </a>“A Resolution Condemning Anti-Semitism” which included the full US State Department's definition of antisemitism, including demonizing or delegitimizing Isreal, and holding Israel to a double standard.</p>",5,3/10/2015,SD Definition,University of California Los Angeles,2015
"<p>The undergraduate student government unanimously <a href=""https://proisraelbaybloggers.blogspot.com/2015/02/uc-berkeley-passes-bill-condemning-anti.html"">passed </a>“A Bill Condemning Anti-Semitism” which alluded to the US State Department's definition of antisemitism and created an ad-hoc committee to discuss and educate about antisemitism on campus.</p>",4,2/23/2015,SD Definition,University of California Berkeley,2015
"<p>The Student Government Association <a href=""http://www.ssimovement.org/2014-2015-blogs.html"">passed</a> a <a href=""http://www.ssimovement.org/student-government-resolutions.html"">resolution</a> that encouraged the expansion of study abroad programs in Israel. Exact date of passage is unknown.</p>",3,1/1/2015,Study Abroad in Israel,University of Georgia,2015
"<p>According to <em>The Algemeiner</em>, the Associated Students of Western Washington University (ASWWU) became the first North American university student government <a href=""https://www.algemeiner.com/2014/06/12/first-proactive-anti-bds-student-resolution-passes-at-western-washington-u/"">to pass</a> a proactive resolution against the Boycott, Divestment and Sanctions (BDS) movement. In a 7-0 vote, ASWWU resolved that it would not consider BDS resolutions based on national origin because of the “tensions between students related to foreign conflicts should be managed in a healthy and collaborative manner rather than be exacerbated.” Additionally, the resolution noted that BDS campaigns could result in students being targeted based on their nationality and lead to “disrespectful bias, hostility, hate, or harassment.”</p>",2,6/12/2014,Anti-BDS,Western Washington University,2014
"<p>The Minnesota Student Association passed a <a href=""http://www.ssimovement.org/student-government-resolutions.html"">resolution</a> that supported “expanding study abroad opportunities in the Middle East, specifically Israel, with a concentration in business, science, engineering, and agriculture.”</p>",1,2/18/2014,Study Abroad in Israel,University of Minnesota Twin Cities,2014
