University,Date,Statement Addressed,Statement
Brandeis University,10/7/2023,"Israel, General Antisemitism","<p>On the evening of October 7th, the day of Hamas' attacks, President Ron Liebowitz released the <a href=""https://www.brandeis.edu/president/letters/2023-10-08-statement-on-israel.html"" target=""_blank"">message</a>, ""This morning we awoke to news of a deadly terrorist attack on Israel. Many of us in the Brandeis community have close family, friends, colleagues and former classmates and students in the region, and many have spent a frightening day trying to reach those who live there. My thoughts are with all of those who are suffering in the wake of this outburst of violence. In terms of our current students, two are studying in Israel this semester, we have made contact with both of them, and will support them. We are also communicating with faculty in the region, and monitoring the situation to help community members who may need assistance. We condemn in the strongest way terrorism such as we have seen today perpetrated against innocent civilians; we support Israel's right to defend itself. It has always been our belief at Brandeis that engaging and wrestling with divisive issues from a place of compassion is how we begin to heal our broken world. We have many faculty and staff in a number of academic departments with deep knowledge of the region and the conflict, and I encourage you to pursue learning in this area from those individuals. At the moment, many members of our community are hurting and worried. As has been true at other difficult times, I know you will support each other, and I urge anyone in need of additional support to make use of the campus resources listed below.""
</p>"
Harvard University,10/24/2023,"Harassment, General Antisemitism","<p>Dean Srikant Datar released a <a href=""https://www.hbs.edu/about/leadership/statements-and-speeches/Pages/our-values.aspx"" target=""_blank"">statement</a> that expressed, in part, ""Moreover, the pro-Palestinian demonstration that crossed from Cambridge onto our campus last Wednesday, which included a troubling confrontation between one of our MBA students and a subset of the protestors, has left many of our students shaken. Reports have been filed with HUPD and the FBI, the facts are being evaluated, and it will be some time before we learn the results of an investigation. But the protest has raised questions about how we address freedom of speech, hateful speech that goes against our community values, and security and safety for everyone at the School.""
</p>"
Boston University,10/10/2023,"General Antisemitism, Israel","<p>President Ad Interim Kenneth W. Freeman and University Provost & Chief Academic Officer Ad Interim Kenneth R. Lutchen released a <a href=""https://www.bu.edu/president/conflict-in-the-middle-east/"" target=""_blank"">statement</a> titled, ""Conflict in the Middle East"" expressing, in part: ""We write in response to the horrific conflict taking place in the Middle East. We are appalled by and condemn the attack by Hamas on the State of Israel and especially the intentional and large-scale targeting of noncombatants. The resulting war will senselessly claim innocent victims on all sides. We are acutely aware that there are many in our community who have close and strong connections to the region and who have relatives and friends affected by the war that is now a reality. Dean of Students Jason Campbell-Foster has reached out to students from the region. He and his team stand ready to assist other students with ties in the immediate region of conflict who are experiencing anguish, stress, or disruption.""
</p>"
The New School,10/9/2023,"General Antisemitism, Israel","<p>On October 9th, Interim President Donna E. Shalala released the <a href=""https://blogs.newschool.edu/community-messages/2023/10/09/statement-from-interim-president-donna-e-shalala-on-hamas-attacks-on-israel/"" target=""_blank"">statement</a> titled, ""Statement from Interim President Donna E. Shalala on Hamas Attacks on Israel"" which stated: ""We are shocked and outraged by the multi-pronged and deadly attacks on Israel by Hamas that began over the weekend. As an academic institution, it is crucial that we serve as an example of acceptance and tolerance, and our university will continue to have a profound role in teaching the need for critical discussion and historic analysis that gives perspective on the challenges of our global society. As we continue to learn of the impact of the terrorist attacks and warfare, we are especially focused on the many international students from the region whose families, friends, and loved ones are facing great uncertainty and danger. Our staff in Student Success and International Student and Scholar Services are reaching out to students from the affected areas to offer resources and assistance. Even those who are not impacted in direct or obvious ways may be experiencing distress. Let’s be sure to lend support—as peers, teachers, colleagues, mentors, advisors, and friends.""
</p>"
The New School,10/10/2023,"General Antisemitism, Israel","<p>On October 10th, Interim President Donna E. Shalala released the <a href=""https://blogs.newschool.edu/community-messages/2023/10/10/a-message-from-interim-president-donna-e-shalala/"" target=""_blank"">message</a>: ""I’ve heard from students that our strong statement on the Israel-Hamas war did not include our deep concern and sadness for the innocent citizens of Palestine. They are right. My Lebanese grandmother would have reminded me that wars in the Middle East always kill, wound, and traumatize the innocent. In this war, Jewish, Palestinian, Druze, Bedouin, and Christian citizens are the victims. The deliberate targeting of civilians and the taking of hostages are war crimes—unacceptable and just awful. We weep particularly for the children of Israel and Gaza—they deserve better from all of us.""
</p>"
Brandeis University,11/28/2023,"Harassment, General Antisemitism, Disruption","<p>The Brandeis University Board of Trustees released a full page advertisement in the Boston Globe that <a href=""https://twitter.com/DavidHarrisNY/status/1729484469080330351"" target=""_blank"">stated</a>, in part: ""The virulent antisemitism that has overtaken too many universities over the past six weeks — and, in turn, led to Jewish students feeling unsafe — will not be tolerated at our institution.""
</p>"
Northeastern University,12/11/2023,"Harassment, General Antisemitism, Israel","<p>On December 11, 2023, the University released a <a href=""https://news.northeastern.edu/israel-hamas-response-protest-safety/"" target=""_blank"">webpage</a> that detailed the University's response to Hamas' October 7th massacre of Israeli civilians as well as relevant policies that apply to the campus climate and discourse on campus.
</p>"
Princeton University,12/12/2023,"Harassment, General Antisemitism, Israel","<p>On December 12, 2023, President Eisgruber released a <a href=""https://president.princeton.edu/blogs/remarks-cpuc-about-criticism-higher-education-us-congress"" target=""_blank"">statement</a> clarifying the University's stance, stating, ""During a meeting yesterday of the Council of the Princeton University Community, I briefly addressed the tumultuous hearings in Congress last week, which unfortunately have led to questions about the commitment of leading U.S. research universities to act forcefully in response to hypothetical calls for the genocide of Jews. ‘I have great confidence in this community of which we all are a part,’ I told the CPUC. ‘I have never heard calls for genocide, or calls for murder, on this campus, and I don't expect ever to hear those calls. But let me also be clear about this: if ever there were calls for genocide or calls for murder on this campus, this University would respond forcefully under its rules in order to protect [its] values.’ I’d like to elaborate on those brief remarks. Princeton’s values are clearly stated in our rules: the University ‘deplores expressions of hatred directed against any individual or group.’ I have spoken out against antisemitism before and I do so again now, unreservedly, as I do against Islamophobia or any other bigotry. Calling for the genocide or murder of Jews or any group is always wrong and appalling. Punishing people for pure speech is almost always wrong. Princeton’s commitment to free speech means I do have to sometimes protect the right of people to say things that I find repugnant, hateful, and awful. So let me again be crystal clear: even when Princeton cannot censor speech, we can and will respond vigorously to speech that violates our values. In those instances in which Princeton cannot–and should not–suppress or discipline immoral speech because it is protected speech under our policies and the First Amendment, it can still respond in many ways. We can sponsor better speech, we can state our values, we can support our students. We will continue to do this, and we must do it in a way that is even-handed and fair to all viewpoints and all identities. I am profoundly grateful for the thoughtfulness and civility that have largely characterized the Princeton community’s response to the Israel-Hamas war. The coming days and weeks will continue to test our commitment to mutual respect. I have every confidence that the Princeton community will continue to distinguish itself as a model for serious and respectful engagement with the world’s hardest challenges.""
</p><p><br />
</p>"
Cornell University,12/11/2023,"Harassment, General Antisemitism","<p>On December 11, 2023, President Martha E. Pollack released a <a href=""https://www.wrvo.org/education/2023-12-11/cornell-and-syracuse-university-leaders-on-whether-calling-for-genocide-of-jews-violate-campus-code"" target=""_blank"">statement</a> clarifying the University's stance, stating, ""Over the past few days, a number of universities, including Cornell, have been asked by members of Congress to make clear their policies around genocide. Genocide is abhorrent, and Cornell condemns calls for the genocide of any people. An explicit call for genocide, to kill all members of a group of people, would be a violation of our policies.""
</p>"
Syracuse University,12/11/2023,"Harassment, General Antisemitism","<p>On December 11, 2023, Chancellor Kent Syverud released a <a href=""https://www.wrvo.org/education/2023-12-11/cornell-and-syracuse-university-leaders-on-whether-calling-for-genocide-of-jews-violate-campus-code"" target=""_blank"">statement</a> clarifying the University's stance, stating: ""Over the weekend, I received formal letters from several elected officials, including members of Congress and Gov. Kathy Hochul, asking me to consider, and in some cases respond to this question: Would advocating for the genocide of Jews violate Syracuse University’s codes of conduct? The answer is yes. To our whole Orange community—our students, faculty, staff, alumni, families, and friends—I want to explain why. If anyone advocates for the genocide of Israelis or Jews, or any other group—including Palestinians, Arabs, or Muslims—the targeted group has good reason to question whether that individual can faithfully meet their responsibility to all members of our community. That responsibility includes caring about the safety and well-being of all who are Orange. Advocacy for the genocide of a group based on religion, nationality, ethnicity, or race requires Syracuse University to investigate and impose appropriate accountability. The University has disciplinary processes to address such violations of our standards. Those processes and outcomes comply with federal and state law. But this is much more than a matter of law. It is a moral issue. As Chancellor, I have a fundamental obligation to the well-being of all our students, faculty, and staff. Regardless of what the First Amendment might permit in terms of hateful speech and conduct, as a private institution we should sometimes expect more of the members of our university community. We should expect that our community members will refuse to advocate for the death of a group of people based on their identity. I wish the answers to all questions raised by recent events were this clear to me. During this stressful time, many are gravely concerned about the war. And I am acutely aware there remain concerns for free speech and academic freedom, including a fear that events in the world and at universities will lead administrators to regulate a broad range of speech in the name of student safety. I believe these are valid concerns, which we need to continue to work through as a community. In particular, I believe the time is here for our university to articulate a shared statement on free speech and academic freedom. Honoring our responsibilities as citizens of this University has been stressful for so many of you since Oct. 7. Almost to a person, our community has been remarkably responsible and compassionate toward others. Thank you. I ask that we do our best to continue this, extending respect, empathy, and grace to each other in the time ahead.""
</p>"
University of Maryland,12/21/2023,General Antisemitism,"<p>On December 21, 2023 President Darryll J. Pines released a <a href=""https://president.umd.edu/articles/task-force-on-antisemitism-and-islamophobia"" target=""_blank"">statement</a> titled, ""Task Force on Antisemitism and Islamophobia"" that expressed: ""On November 27, I announced several measures to help prioritize a safe and inclusive community at the University of Maryland, including the establishment of a Joint Presidential and University Senate Task Force on Antisemitism and Islamophobia. I am pleased to announce the membership of this important task force, comprising of students, faculty and staff who were nominated by campus colleagues. The task force will be chaired by two esteemed university scholars: Maxine Grossman, Associate Professor and Director of the Joseph and Rebecca Meyerhoff Program and Center for Jewish Studies, and Shibley Telhami, the Anwar Sadat Professor for Peace and Development and a Distinguished Scholar-Teacher. The full list of members is below. Their charge is both ambitious and critical. The recent events in the Middle East have unfortunately contributed to a rise in the number of hate incidents nationally against religious, national and shared ancestry groups. Recognizing the importance of fostering an environment of diversity, equity, inclusion and combating unlawful discrimination and harassment, the Joint President-University Senate Task Force on Antisemitism and Islamophobia will examine applicable university policies and practices to identify areas for improvement. It will recommend actionable strategies to address and mitigate future hate-bias incidents of antisemitism and Islamophobia. With the ultimate goal of contributing toward a campus community that is welcoming, respectful and inclusive of diverse backgrounds, the task force's purpose is to (i) understand the causes of antisemitic and Islamophobic incidents, (ii) assess the effectiveness of existing preventive measures, and (iii) propose new initiatives to foster understanding, dialogue and support. All of this must be done within the context of, and consistent with, applicable law. The work of the task force shall include consultation with members of the campus community, student leaders and campus religious leaders, including Rabbi Ari Israel from UMD Hillel, Rabbi Eli Backman from UMD Chabad, Imam Tarif Shraim from the Center for Muslim Life and Father Conrad Murphy from UMD Catholic Student Center. The task force shall also consult with experts in the areas of antisemitism, Islamophobia, Middle East politics and policy, campus safety, legal doctrine, and educational best practices. Additionally, the task force shall also review previous work, including the findings of the Joint President-Senate Inclusion and Respect Task Force. The task force shall commence its work in January, providing periodic updates and a final report to the university administration by June 30, 2024, including its findings, recommendations and a proposed action plan. Please join me in thanking the members of this task force in advance for their commitment to this vital work.""
</p>"
